---------------------------------------------------------------------------------------------------
Date: 9/25/2025 -- 13:09:56 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
flow.wrk.spare_sync                                          | Total                     | 6
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
tcp.invalid_checksum                                         | Total                     | 49
detect.alert                                                 | Total                     | 136
app_layer.flow.dns_udp                                       | Total                     | 5
app_layer.tx.dns_udp                                         | Total                     | 10
flow.mgr.full_hash_pass                                      | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9400
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 12
flow.mgr.flows_notimeout                                     | Total                     | 12
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 366144
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 6834304
---------------------------------------------------------------------------------------------------
Date: 9/25/2025 -- 13:10:12 (uptime: 0d, 00h 00m 24s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 230
decoder.bytes                                                | Total                     | 71072
decoder.ipv4                                                 | Total                     | 230
decoder.tcp                                                  | Total                     | 179
tcp.syn                                                      | Total                     | 18
tcp.synack                                                   | Total                     | 3
tcp.rst                                                      | Total                     | 16
decoder.udp                                                  | Total                     | 51
decoder.avg_pkt_size                                         | Total                     | 309
decoder.max_pkt_size                                         | Total                     | 1490
tcp.active_sessions                                          | Total                     | 3
flow.total                                                   | Total                     | 28
flow.active                                                  | Total                     | 28
flow.tcp                                                     | Total                     | 16
flow.udp                                                     | Total                     | 12
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
tcp.sessions                                                 | Total                     | 3
tcp.ssn_from_pool                                            | Total                     | 3
tcp.invalid_checksum                                         | Total                     | 72
detect.alert                                                 | Total                     | 248
app_layer.flow.quic                                          | Total                     | 1
app_layer.tx.quic                                            | Total                     | 5
app_layer.flow.failed_udp                                    | Total                     | 4
app_layer.flow.dns_udp                                       | Total                     | 7
app_layer.tx.dns_udp                                         | Total                     | 14
flow.mgr.full_hash_pass                                      | Total                     | 2
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9300
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 12
flow.mgr.flows_notimeout                                     | Total                     | 12
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 366144
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 6834304
---------------------------------------------------------------------------------------------------
Date: 9/25/2025 -- 13:10:20 (uptime: 0d, 00h 00m 32s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 439
decoder.bytes                                                | Total                     | 103662
decoder.ipv4                                                 | Total                     | 439
decoder.tcp                                                  | Total                     | 378
tcp.syn                                                      | Total                     | 21
tcp.synack                                                   | Total                     | 5
tcp.rst                                                      | Total                     | 17
decoder.udp                                                  | Total                     | 61
decoder.avg_pkt_size                                         | Total                     | 236
decoder.max_pkt_size                                         | Total                     | 1490
tcp.active_sessions                                          | Total                     | 3
flow.total                                                   | Total                     | 33
flow.active                                                  | Total                     | 33
flow.tcp                                                     | Total                     | 21
flow.udp                                                     | Total                     | 12
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
tcp.sessions                                                 | Total                     | 3
tcp.ssn_from_pool                                            | Total                     | 3
tcp.invalid_checksum                                         | Total                     | 105
detect.alert                                                 | Total                     | 464
app_layer.flow.quic                                          | Total                     | 1
app_layer.tx.quic                                            | Total                     | 5
app_layer.flow.failed_udp                                    | Total                     | 4
app_layer.flow.dns_udp                                       | Total                     | 7
app_layer.tx.dns_udp                                         | Total                     | 16
flow.mgr.full_hash_pass                                      | Total                     | 2
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 29
flow.mgr.flows_notimeout                                     | Total                     | 29
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 366144
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 6834304
---------------------------------------------------------------------------------------------------
Date: 9/25/2025 -- 13:10:28 (uptime: 0d, 00h 00m 40s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 581
decoder.bytes                                                | Total                     | 145487
decoder.ipv4                                                 | Total                     | 581
decoder.tcp                                                  | Total                     | 484
tcp.syn                                                      | Total                     | 27
tcp.synack                                                   | Total                     | 7
tcp.rst                                                      | Total                     | 22
decoder.udp                                                  | Total                     | 97
decoder.avg_pkt_size                                         | Total                     | 250
decoder.max_pkt_size                                         | Total                     | 1490
tcp.active_sessions                                          | Total                     | 4
flow.total                                                   | Total                     | 39
flow.active                                                  | Total                     | 39
flow.tcp                                                     | Total                     | 24
flow.udp                                                     | Total                     | 15
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
tcp.sessions                                                 | Total                     | 4
tcp.ssn_from_pool                                            | Total                     | 4
tcp.invalid_checksum                                         | Total                     | 136
detect.alert                                                 | Total                     | 616
app_layer.flow.quic                                          | Total                     | 2
app_layer.tx.quic                                            | Total                     | 10
app_layer.flow.failed_udp                                    | Total                     | 4
app_layer.flow.dns_udp                                       | Total                     | 9
app_layer.tx.dns_udp                                         | Total                     | 22
flow.mgr.full_hash_pass                                      | Total                     | 3
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 35
flow.mgr.flows_notimeout                                     | Total                     | 35
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 366144
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 6834304
---------------------------------------------------------------------------------------------------
Date: 9/25/2025 -- 13:10:37 (uptime: 0d, 00h 00m 49s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 781
decoder.bytes                                                | Total                     | 193886
decoder.ipv4                                                 | Total                     | 781
decoder.tcp                                                  | Total                     | 680
tcp.syn                                                      | Total                     | 35
tcp.synack                                                   | Total                     | 10
tcp.rst                                                      | Total                     | 30
decoder.udp                                                  | Total                     | 101
decoder.avg_pkt_size                                         | Total                     | 248
decoder.max_pkt_size                                         | Total                     | 1490
tcp.active_sessions                                          | Total                     | 6
flow.total                                                   | Total                     | 43
flow.active                                                  | Total                     | 43
flow.tcp                                                     | Total                     | 28
flow.udp                                                     | Total                     | 15
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
tcp.sessions                                                 | Total                     | 6
tcp.ssn_from_pool                                            | Total                     | 6
tcp.invalid_checksum                                         | Total                     | 188
tcp.segment_from_pool                                        | Total                     | 2
detect.alert                                                 | Total                     | 830
app_layer.flow.quic                                          | Total                     | 2
app_layer.tx.quic                                            | Total                     | 10
app_layer.flow.failed_udp                                    | Total                     | 4
app_layer.flow.dns_udp                                       | Total                     | 9
app_layer.tx.dns_udp                                         | Total                     | 26
flow.mgr.full_hash_pass                                      | Total                     | 4
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 40
flow.mgr.flows_notimeout                                     | Total                     | 40
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 921600
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 366144
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 6834304
---------------------------------------------------------------------------------------------------
Date: 9/25/2025 -- 13:10:45 (uptime: 0d, 00h 00m 57s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 934
decoder.bytes                                                | Total                     | 219483
decoder.ipv4                                                 | Total                     | 934
decoder.tcp                                                  | Total                     | 823
tcp.syn                                                      | Total                     | 35
tcp.synack                                                   | Total                     | 10
tcp.rst                                                      | Total                     | 30
decoder.udp                                                  | Total                     | 111
decoder.avg_pkt_size                                         | Total                     | 234
decoder.max_pkt_size                                         | Total                     | 1490
tcp.active_sessions                                          | Total                     | 6
flow.total                                                   | Total                     | 44
flow.active                                                  | Total                     | 44
flow.tcp                                                     | Total                     | 29
flow.udp                                                     | Total                     | 15
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
tcp.sessions                                                 | Total                     | 6
tcp.ssn_from_pool                                            | Total                     | 6
tcp.invalid_checksum                                         | Total                     | 218
tcp.segment_from_pool                                        | Total                     | 2
detect.alert                                                 | Total                     | 992
app_layer.flow.quic                                          | Total                     | 2
app_layer.tx.quic                                            | Total                     | 10
app_layer.flow.failed_udp                                    | Total                     | 4
app_layer.flow.dns_udp                                       | Total                     | 9
app_layer.tx.dns_udp                                         | Total                     | 26
flow.mgr.full_hash_pass                                      | Total                     | 5
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 44
flow.mgr.flows_notimeout                                     | Total                     | 44
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 921600
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 366144
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 6834304
---------------------------------------------------------------------------------------------------
Date: 9/25/2025 -- 13:10:53 (uptime: 0d, 00h 01m 05s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 1092
decoder.bytes                                                | Total                     | 325379
decoder.ipv4                                                 | Total                     | 1092
decoder.tcp                                                  | Total                     | 977
tcp.syn                                                      | Total                     | 41
tcp.synack                                                   | Total                     | 11
tcp.rst                                                      | Total                     | 35
decoder.udp                                                  | Total                     | 115
decoder.avg_pkt_size                                         | Total                     | 297
decoder.max_pkt_size                                         | Total                     | 1490
tcp.active_sessions                                          | Total                     | 7
flow.total                                                   | Total                     | 48
flow.active                                                  | Total                     | 48
flow.tcp                                                     | Total                     | 31
flow.udp                                                     | Total                     | 17
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
tcp.sessions                                                 | Total                     | 7
tcp.ssn_from_pool                                            | Total                     | 7
tcp.invalid_checksum                                         | Total                     | 293
tcp.segment_from_pool                                        | Total                     | 2
detect.alert                                                 | Total                     | 1156
app_layer.flow.quic                                          | Total                     | 2
app_layer.tx.quic                                            | Total                     | 10
app_layer.flow.failed_udp                                    | Total                     | 4
app_layer.flow.dns_udp                                       | Total                     | 11
app_layer.tx.dns_udp                                         | Total                     | 30
flow.mgr.full_hash_pass                                      | Total                     | 6
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 47
flow.mgr.flows_notimeout                                     | Total                     | 47
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 921600
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 366144
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 6834304
---------------------------------------------------------------------------------------------------
Date: 9/25/2025 -- 13:11:01 (uptime: 0d, 00h 01m 13s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 1148
decoder.bytes                                                | Total                     | 341223
decoder.ipv4                                                 | Total                     | 1148
decoder.tcp                                                  | Total                     | 1029
tcp.syn                                                      | Total                     | 46
tcp.synack                                                   | Total                     | 11
tcp.rst                                                      | Total                     | 40
decoder.udp                                                  | Total                     | 119
decoder.avg_pkt_size                                         | Total                     | 297
decoder.max_pkt_size                                         | Total                     | 1490
tcp.active_sessions                                          | Total                     | 8
flow.total                                                   | Total                     | 51
flow.active                                                  | Total                     | 51
flow.tcp                                                     | Total                     | 32
flow.udp                                                     | Total                     | 19
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
tcp.sessions                                                 | Total                     | 8
tcp.ssn_from_pool                                            | Total                     | 8
tcp.invalid_checksum                                         | Total                     | 307
tcp.segment_from_pool                                        | Total                     | 2
detect.alert                                                 | Total                     | 1218
app_layer.flow.quic                                          | Total                     | 2
app_layer.tx.quic                                            | Total                     | 10
app_layer.flow.failed_udp                                    | Total                     | 4
app_layer.flow.dns_udp                                       | Total                     | 13
app_layer.tx.dns_udp                                         | Total                     | 34
flow.mgr.full_hash_pass                                      | Total                     | 6
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 48
flow.mgr.flows_notimeout                                     | Total                     | 48
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 921600
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 366144
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 6834304
---------------------------------------------------------------------------------------------------
Date: 9/25/2025 -- 13:11:09 (uptime: 0d, 00h 01m 21s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 2046
decoder.bytes                                                | Total                     | 446856
decoder.ipv4                                                 | Total                     | 2044
decoder.ipv6                                                 | Total                     | 2
decoder.tcp                                                  | Total                     | 1875
tcp.syn                                                      | Total                     | 51
tcp.synack                                                   | Total                     | 15
tcp.rst                                                      | Total                     | 44
decoder.udp                                                  | Total                     | 171
decoder.avg_pkt_size                                         | Total                     | 218
decoder.max_pkt_size                                         | Total                     | 1490
tcp.active_sessions                                          | Total                     | 9
flow.total                                                   | Total                     | 71
flow.active                                                  | Total                     | 70
flow.tcp                                                     | Total                     | 38
flow.udp                                                     | Total                     | 33
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
flow.wrk.flows_evicted                                       | Total                     | 1
tcp.sessions                                                 | Total                     | 9
tcp.ssn_from_pool                                            | Total                     | 9
tcp.invalid_checksum                                         | Total                     | 383
tcp.segment_from_pool                                        | Total                     | 248
detect.alert                                                 | Total                     | 2140
app_layer.flow.quic                                          | Total                     | 3
app_layer.tx.quic                                            | Total                     | 15
app_layer.flow.mdns                                          | Total                     | 3
app_layer.tx.mdns                                            | Total                     | 6
app_layer.flow.failed_udp                                    | Total                     | 6
app_layer.flow.dns_udp                                       | Total                     | 21
app_layer.tx.dns_udp                                         | Total                     | 54
flow.end.state.new                                           | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 7
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
